id,daily_term,legal_term,relation_type,domain,priority,raw_data,created_at,updated_at
901,소유권 이전,권리 이전,RELATED,apartment_sale,80,"{""note"": ""QA 검색 보강용 수동 확장어"", ""source"": ""manual_curated"", ""relation_name"": ""연관어""}",2026-06-25 00:00:00,2026-06-25 00:00:00
902,소유권 이전,등기명의인,RELATED,apartment_sale,80,"{""note"": ""QA 검색 보강용 수동 확장어"", ""source"": ""manual_curated"", ""relation_name"": ""연관어""}",2026-06-25 00:00:00,2026-06-25 00:00:00
903,빚,근저당권,RELATED,apartment_sale,90,"{""note"": ""QA 검색 보강용 수동 확장어"", ""source"": ""manual_curated"", ""relation_name"": ""연관어""}",2026-06-25 00:00:00,2026-06-25 00:00:00
904,빚,저당권,RELATED,apartment_sale,90,"{""note"": ""QA 검색 보강용 수동 확장어"", ""source"": ""manual_curated"", ""relation_name"": ""연관어""}",2026-06-25 00:00:00,2026-06-25 00:00:00
905,빚,압류,RELATED,apartment_sale,80,"{""note"": ""QA 검색 보강용 수동 확장어"", ""source"": ""manual_curated"", ""relation_name"": ""연관어""}",2026-06-25 00:00:00,2026-06-25 00:00:00
906,빚 잡힌 집,근저당권,RELATED,apartment_sale,90,"{""note"": ""QA 검색 보강용 수동 확장어"", ""source"": ""manual_curated"", ""relation_name"": ""연관어""}",2026-06-25 00:00:00,2026-06-25 00:00:00
907,빚 잡힌 집,저당권,RELATED,apartment_sale,90,"{""note"": ""QA 검색 보강용 수동 확장어"", ""source"": ""manual_curated"", ""relation_name"": ""연관어""}",2026-06-25 00:00:00,2026-06-25 00:00:00
908,빚 잡힌 집,가압류,RELATED,apartment_sale,80,"{""note"": ""QA 검색 보강용 수동 확장어"", ""source"": ""manual_curated"", ""relation_name"": ""연관어""}",2026-06-25 00:00:00,2026-06-25 00:00:00
909,등기부,권리관계,RELATED,apartment_sale,80,"{""note"": ""QA 검색 보강용 수동 확장어"", ""source"": ""manual_curated"", ""relation_name"": ""연관어""}",2026-06-25 00:00:00,2026-06-25 00:00:00
910,등기부,저당권,RELATED,apartment_sale,80,"{""note"": ""QA 검색 보강용 수동 확장어"", ""source"": ""manual_curated"", ""relation_name"": ""연관어""}",2026-06-25 00:00:00,2026-06-25 00:00:00
